tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2024,58.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Albania,Wikipedia
2024,46.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Algeria,Wikipedia
2024,34.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Andorra,Wikipedia
2024,70.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Angola,Wikipedia
2024,76.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Antigua and Barbuda,Wikipedia
2024,86.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Argentina,Wikipedia
2024,53.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Armenia,Wikipedia
2024,76.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Aruba,Wikipedia
2024,49.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Australia,Wikipedia
2024,75.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Austria,Wikipedia
2024,18.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Azerbaijan,Wikipedia
2024,84.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Bahamas,Wikipedia
2024,126.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Bahrain,Wikipedia
2024,41.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Bangladesh,Wikipedia
2024,107.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Barbados,Wikipedia
2024,48.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Belarus,Wikipedia
2024,105.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Belgium,Wikipedia
2024,62.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Belize,Wikipedia
