tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2023,3393113481683.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2022,3415088632734.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2021,3697308523957.8,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2020,3264784198141.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2019,2992481530745.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2018,2798013797684.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2017,2488752160406.3,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2016,2111583356604.5,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2015,2001279208510.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2014,2443476128870.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2013,2100336174647.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2012,1741943850242.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2011,1558844411079.5,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2010,1193011604105.3,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2009,829275418287.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2008,717993375611.3,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2007,690598615607.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2006,619965929098.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2005,581275897756.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2004,540364366281.2,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2003,495243236209.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2002,466232160739.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2001,469868642974.8,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2000,456151253751.7,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1999,494756268614.7,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1998,491354526872.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1997,479396338313.5,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1996,454842432154.8,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1995,421587138918.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1994,353288921577.3,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1993,302092104026.1,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1992,273820967535.7,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1991,246072462372.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1990,217768034182.1,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1989,186563459679.2,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1988,157076696849.2,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1987,147259435582.8,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1986,120928242092.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1985,104154212254.5,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1984,89212992782.3,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1983,83408920386.2,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1982,75081115444.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1981,64317454886.0,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1980,54399399056.5,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1979,43437510935.7,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1978,36653345878.2,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1977,29784502219.1,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1976,23655441434.4,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1975,18711976028.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1974,15147878788.8,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1973,12297993547.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1972,10479313752.7,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1971,8817214911.6,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
1970,7026035434.9,USD,DT.DOD.DECT.CD,Deuda Externa,4E,East Asia & Pacific (excluding high income),World Bank
2023,1121762020384.2,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2022,1029410583145.3,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2021,988000144853.8,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2020,965310482154.1,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2019,913707991079.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2018,910058621420.4,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2017,930703038196.1,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2016,864255041643.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2015,852157370074.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2014,881386820423.9,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2013,882022990081.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2012,788340434103.1,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2011,733474168719.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
2010,697218969042.0,USD,DT.DOD.DECT.CD,Deuda Externa,7E,Europe & Central Asia (excluding high income),World Bank
