nombre_indicador,nombre_region,tiempo,tipo_informe,valor,unidad,notes_ids,source_id,codigo_indicador,codigo_region,fuente
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2010,Global,0.276140861750108,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2011,Global,1.32543575779664,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2012,Global,1.18894845245608,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2013,Global,2.16061146813391,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2014,Global,1.27397911533388,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2015,Global,-2.34752770165615,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Islas Caimán,2016,Global,-0.62525835861814,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2000,Global,3.84327295706575,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2001,Global,3.56910053001458,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2002,Global,2.48939816650708,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2003,Global,2.81017875743615,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2004,Global,1.05473871403513,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2005,Global,3.05257621387847,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2006,Global,3.39201733699409,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2007,Global,4.40779938398042,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2008,Global,8.71626873039613,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2009,Global,0.353045178360957,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2010,Global,1.41071107954317,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2011,Global,3.34121694259301,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2012,Global,3.00744840213047,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2013,Global,1.7895555398459,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2014,Global,4.71867527854663,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2015,Global,4.34877353217053,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2016,Global,3.78619355893118,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2017,Global,2.18271846868519,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2018,Global,2.43488981353057,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2019,Global,2.55754475703327,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2020,Global,3.04549084804334,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2021,Global,4.52456838259121,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2022,Global,11.6438667110561,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Chile,2023,Global,7.58168251407969,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2000,Global,10.9615496593622,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2001,Global,11.2556157091172,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2002,Global,9.16752048509119,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2003,Global,9.44758091616984,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2004,Global,12.3148150178852,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2005,Global,13.7982949108987,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2006,Global,11.4705968149052,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2007,Global,9.35724456417157,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2008,Global,13.4244635507284,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2009,Global,7.84270167700654,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2010,Global,5.66275708420021,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2011,Global,4.87799830970702,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2012,Global,4.49545314354605,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2013,Global,5.23133614174428,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2014,Global,4.51920098516954,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2015,Global,0.801982005099623,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2016,Global,-0.0174788505908217,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2017,Global,1.62590692991732,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2018,Global,2.22111461526581,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2019,Global,2.09604635327807,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2020,Global,0.724911478131376,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2021,Global,1.72647755109241,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2022,Global,8.27477490232654,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",Costa Rica,2023,Global,0.525193508693455,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",El Salvador,2000,Global,2.27128756828723,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",El Salvador,2001,Global,3.7508205747202,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",El Salvador,2002,Global,1.86552503610077,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",El Salvador,2003,Global,2.1203909173333,Porcentaje,,6405,INF,,World Bank
"Inflación anual, precios al consumidor (%) FP_CPI_TOTL_ZG",El Salvador,2004,Global,4.45194392395045,Porcentaje,,6405,INF,,World Bank
