pais,anio,pib_millones_usd
América Latina y el Caribe,2003,2030295.040041511
América Latina y el Caribe,2004,2321182.757183526
América Latina y el Caribe,2005,2821477.685966954
América Latina y el Caribe,2006,3305730.532862456
América Latina y el Caribe,2007,3914225.764477524
América Latina y el Caribe,2008,4579421.32955782
América Latina y el Caribe,2009,4237405.795177531
América Latina y el Caribe,2010,5192177.606124648
América Latina y el Caribe,2011,6043747.15955876
América Latina y el Caribe,2012,6103551.912896601
América Latina y el Caribe,2013,6272794.396727491
América Latina y el Caribe,2014,6195960.627267987
América Latina y el Caribe,2015,5263089.5845711
América Latina y el Caribe,2016,5125012.407446727
América Latina y el Caribe,2017,5623824.811350593
América Latina y el Caribe,2018,5508842.981871823
América Latina y el Caribe,2024,6806709.51923842
América Latina y el Caribe,1990,1219222.38354881
América Latina y el Caribe,1991,1303536.03856007
América Latina y el Caribe,1992,1419409.215720463
América Latina y el Caribe,1993,1572465.550133877
América Latina y el Caribe,1994,1840380.349494912
América Latina y el Caribe,1995,1942622.324173959
América Latina y el Caribe,1996,2097329.601358884
América Latina y el Caribe,1997,2296864.174941447
América Latina y el Caribe,1998,2312049.069181656
América Latina y el Caribe,1999,2084946.323197494
América Latina y el Caribe,2000,2281221.354538622
América Latina y el Caribe,2001,2234824.481035059
América Latina y el Caribe,2002,2000693.244910256
América Latina y el Caribe,2019,5363014.97180922
América Latina y el Caribe,2020,4535964.55832422
América Latina y el Caribe,2021,5161033.899430132
América Latina y el Caribe,2022,5900927.368402983
América Latina y el Caribe,2023,6639814.735661334
