pais,anio,pib_usd
América Latina y el Caribe,1960,84329838400.4279
América Latina y el Caribe,1961,89709981773.9291
América Latina y el Caribe,1962,98261282126.6901
América Latina y el Caribe,1963,99893385581.1464
América Latina y el Caribe,1964,111052848438.042
América Latina y el Caribe,1965,119371602868.407
América Latina y el Caribe,1966,131433205589.983
América Latina y el Caribe,1967,134061722395.098
América Latina y el Caribe,1968,143869326230.616
América Latina y el Caribe,1969,160710391278.493
América Latina y el Caribe,1970,175326829534.158
América Latina y el Caribe,1971,195536195231.249
América Latina y el Caribe,1972,219954391453.822
América Latina y el Caribe,1973,292519246389.568
América Latina y el Caribe,1974,379198908310.797
América Latina y el Caribe,1975,397745002329.407
América Latina y el Caribe,1976,436198464311.505
América Latina y el Caribe,1977,479038882979.812
América Latina y el Caribe,1978,574382226867.865
América Latina y el Caribe,1979,644575844029.027
América Latina y el Caribe,1980,783500501539.63
América Latina y el Caribe,1981,894561377247.157
América Latina y el Caribe,1982,823712965139.12
América Latina y el Caribe,1983,726721794879.406
América Latina y el Caribe,1984,764777823849.368
América Latina y el Caribe,1985,756311375939.059
América Latina y el Caribe,1986,765776536062.758
América Latina y el Caribe,1987,821881180249.84
América Latina y el Caribe,1988,901488916776.514
América Latina y el Caribe,1989,995446888620.216
América Latina y el Caribe,1990,1182930524066.3
América Latina y el Caribe,1991,1190363679873.93
América Latina y el Caribe,1992,1299294226948.35
América Latina y el Caribe,1993,1537236482693.87
América Latina y el Caribe,1994,1795857944908.41
América Latina y el Caribe,1995,1942625401757.23
América Latina y el Caribe,1996,2101355129053.54
América Latina y el Caribe,1997,2303819877048.61
América Latina y el Caribe,1998,2332209529441.48
América Latina y el Caribe,1999,2107777544518.75
América Latina y el Caribe,2000,2326949294888.47
América Latina y el Caribe,2001,2282568106526.85
América Latina y el Caribe,2002,2052733951836.01
América Latina y el Caribe,2003,2091860862682.09
América Latina y el Caribe,2004,2405428955596.87
América Latina y el Caribe,2005,2903183974064.52
América Latina y el Caribe,2006,3397283352571.6
América Latina y el Caribe,2007,3998720279668.85
América Latina y el Caribe,2008,4644078687283.98
América Latina y el Caribe,2009,4357527531809.5
América Latina y el Caribe,2010,5397420440102.78
América Latina y el Caribe,2011,6138988197082.15
América Latina y el Caribe,2012,6210848401059.53
América Latina y el Caribe,2013,6364361538445.06
América Latina y el Caribe,2014,6485373197518.46
América Latina y el Caribe,2015,5420625373878.58
América Latina y el Caribe,2016,5285772978074.74
América Latina y el Caribe,2017,5869256493740.25
América Latina y el Caribe,2018,5743189791995.49
América Latina y el Caribe,2019,5659312361702.85
América Latina y el Caribe,2020,4805510770575.42
América Latina y el Caribe,2021,5581050600056.69
América Latina y el Caribe,2022,6344871239270.21
América Latina y el Caribe,2023,7100142198622.08
